,name,price,pricing_changes,pricing_percentage_changes,sector,industry,market_cap,share_volume,earnings_per_share,annualized_dividend,dividend_pay_date,symbol_yield,beta
663,"Roku, Inc. Class A Common Stock",103.85,-7.00,(-6.31%),Consumer Services,Television Services,"14,051,140,428","5,297,682",$1.71,N/A,N/A,N/A,1.87
664,Packaging Corporation of America Common Stock,149.75,+0.74,(+0.5%),Basic Industries,Paper,"14,006,688,048","578,362",$8.83,$4.00,"Apr 15, 2022",2.71%,0.83
666,J.M. Smucker Company,128.84,+0.19,(+0.15%),Consumer Non-Durables,Packaged Foods,"13,973,779,483","869,428",$5.31,$3.96,"Mar 1, 2022",3.06%,0.31
667,Domino's Pizza Inc Common Stock,386.37,-6.77,(-1.72%),Consumer Non-Durables,Food Distributors,"13,923,300,412","332,854",$13.55,$4.40,"Mar 30, 2022",0.95%,0.64
668,"Discovery, Inc. Series B Common Stock",27.5,+0.0009,(+0%),Consumer Services,Television Services,"13,921,760,078","4,744",$1.54,N/A,N/A,N/A,0.87
670,"Steel Dynamics, Inc.",72.12,-0.27,(-0.37%),Basic Industries,Steel/Iron Ore,"13,796,495,563","2,302,549",$15.69,$1.36,"Apr 15, 2022",1.45%,1.38
671,Ally Financial Inc. Common Stock,41.38,-0.60,(-1.43%),Finance,Diversified Financial Services,"13,787,629,997","3,828,381",$8.20,$1.20,"Feb 15, 2022",2.8%,1.4
672,"UiPath, Inc. Class A Common Stock",26.21,-2.24,(-7.87%),Technology,Computer Software: Prepackaged Software,"13,766,230,152","4,941,228",N/A,N/A,N/A,N/A,0.66
673,"Franklin Resources, Inc. Common Stock",27.26,+0.03,(+0.11%),Finance,Investment Managers,"13,687,910,762","3,589,428",$3.78,$1.16,"Apr 14, 2022",4.06%,1.15
674,Eastman Chemical Company Common Stock,105.42,-1.47,(-1.38%),Basic Industries,Major Chemicals,"13,595,793,699","1,610,949",$6.30,$3.04,"Apr 1, 2022",2.8%,1.49
675,Cleveland-Cliffs Inc. Common Stock,25.86,-0.58,(-2.19%),N/A,N/A,"13,587,094,971","25,981,451",$5.42,N/A,N/A,N/A,2.09
676,APA Corporation Common Stock,39.05,-0.99,(-2.47%),Energy,Oil & Gas Production,"13,541,617,600","8,395,131",$2.59,$0.50,"May 23, 2022",1.29%,4.44
677,"Smith & Nephew SNATS, Inc. Common Stock",30.84,-0.07,(-0.23%),Health Care,Industrial Specialties,"13,532,356,938","1,235,671",N/A,$0.556,"Oct 27, 2021",1.74%,0.7
678,American Homes 4 Rent Common Shares of Beneficial Interest,38.52,-0.64,(-1.63%),Consumer Services,Real Estate Investment Trusts,"13,414,691,577","2,536,212",$0.40,$0.72,"Mar 31, 2022",1.02%,0.6
679,"Qorvo, Inc. Common Stock",123.63,-1.87,(-1.49%),Capital Goods,Industrial Machinery/Components,"13,405,402,046","946,908",$9.90,N/A,N/A,N/A,1.39
681,Avery Dennison Corporation Common Stock,162.38,-1.27,(-0.78%),Miscellaneous,Office Equipment/Supplies/Services,"13,390,059,236","523,962",$8.84,$2.72,"Mar 16, 2022",1.64%,1.03
682,"Jack Henry & Associates, Inc. Common Stock",183.42,+1.76,(+0.97%),Technology,Retail: Computer Software & Peripheral Equipment,"13,357,567,553","794,923",$4.67,$1.96,"Mar 25, 2022",1.11%,0.57
683,"FNF Group of Fidelity National Financial, Inc. Common Stock",46.98,+0.21,(+0.45%),Finance,Specialty Insurers,"13,322,129,030","1,290,561",$8.44,$1.76,"Mar 31, 2022",3.79%,1.35
684,NICE Ltd American Depositary Shares,209.36,-6.59,(-3.05%),Technology,Computer Manufacturing,"13,215,104,888","195,608",$2.91,N/A,N/A,N/A,0.87
685,Liberty Global plc Class B Ordinary Shares,25.24,+0.69,(+2.81%),Consumer Services,Television Services,"13,197,261,365",173,$23.56,N/A,N/A,N/A,0.91
686,"C.H. Robinson Worldwide, Inc. Common Stock",102.24,-0.07,(-0.07%),Transportation,Oil Refining/Marketing,"13,168,364,672","1,603,830",$6.31,$2.20,"Apr 1, 2022",2.17%,0.75
687,"Burlington Stores, Inc. Common Stock",197.0,+1.38,(+0.71%),Consumer Non-Durables,Apparel,"13,152,729,034","1,407,566",$6.01,N/A,N/A,N/A,0.94
688,"Builders FirstSource, Inc. Common Stock",74.33,-0.33,(-0.44%),Consumer Services,RETAIL: Building Materials,"13,139,502,973","1,516,741",$8.51,N/A,N/A,N/A,2.27
689,"Charles River Laboratories International, Inc. Common Stock",259.54,-7.03,(-2.64%),Consumer Services,EDP Services,"13,103,148,638","644,245",$7.60,N/A,N/A,N/A,1.24
690,GoDaddy Inc. Class A Common Stock,78.21,-0.24,(-0.31%),Technology,EDP Services,"13,074,765,040","1,106,609",$1.43,N/A,N/A,N/A,1
691,"ABIOMED, Inc. Common Stock",286.79,-18.83,(-6.16%),Health Care,Medical/Dental Instruments,"13,053,590,998","201,178",$2.89,N/A,N/A,N/A,1.32
692,"Interpublic Group of Companies, Inc.",32.99,-0.47,(-1.4%),Technology,Advertising,"12,996,739,080","3,082,319",$2.39,$1.16,"Mar 15, 2022",3.43%,1.01
694,"MarketAxess Holdings, Inc. Common Stock",342.59,-0.21,(-0.06%),Finance,Investment Bankers/Brokers/Service,"12,962,035,167","235,408",$6.77,$2.80,"Feb 23, 2022",0.8%,0.44
695,Masco Corporation Common Stock,53.73,-0.12,(-0.22%),Capital Goods,Building Products,"12,891,237,789","2,441,595",$1.64,$1.12,"Mar 14, 2022",2.07%,1.38
696,Credicorp Ltd. Common Stock,161.62,+1.11,(+0.69%),Finance,Major Banks,"12,891,048,943","292,723",$8.75,$1.209,"Oct 7, 2021",0.75%,0.77
697,"Host Hotels & Resorts, Inc. Common Stock",18.02,-0.23,(-1.26%),Consumer Services,Real Estate Investment Trusts,14.72,"7,754,758","Mar 30, 2022","Apr 15, 2022",1.26,"Dec 30, 2019",$0.05
698,Liberty Global plc Class C Ordinary Shares,24.6,-0.01,(-0.04%),Consumer Services,Television Services,"12,862,623,992","1,953,470",$23.56,N/A,N/A,N/A,1.11
701,Campbell Soup Company Common Stock,42.17,+0.30,(+0.72%),Consumer Non-Durables,Packaged Foods,"12,722,837,101","2,412,701",$3.03,$1.48,"May 2, 2022",3.47%,0.49
702,"Citrix Systems, Inc. Common Stock",101.02,-0.43,(-0.42%),Technology,Computer Software: Prepackaged Software,"12,682,950,787","2,368,567",$2.43,$1.48,"Dec 21, 2021",1.45%,0.03
703,Liberty Global plc Class A Ordinary Shares,24.22,+0.01,(+0.04%),Consumer Services,Television Services,"12,663,933,053","722,266",$23.56,N/A,N/A,N/A,1.1
704,News Corporation Class B Common Stock,21.41,+0.08,(+0.38%),Consumer Services,Broadcasting,"12,592,655,299","568,623",$0.84,$0.20,"Apr 13, 2022",0.93%,1.39
705,LKQ Corporation Common Stock,44.05,-0.40,(-0.9%),Capital Goods,Automotive Aftermarket,"12,554,872,735","1,284,021",$3.66,$1.00,"Mar 24, 2022",2.22%,1.66
706,LPL Financial Holdings Inc. Common Stock,156.81,-0.65,(-0.41%),Finance,Investment Bankers/Brokers/Service,"12,539,998,635","507,708",$5.63,$1.00,"Mar 29, 2022",0.65%,1.03
709,AerCap Holdings N.V. Ordinary Shares,51.0,+1.55,(+3.13%),Technology,Diversified Commercial Services,"12,488,823,288","1,494,112",$7.25,N/A,N/A,N/A,2.29
710,Advance Auto Parts Inc.,204.08,-0.84,(-0.41%),Consumer Services,Other Specialty Stores,"12,468,793,922","527,517",$9.53,$6.00,"Apr 1, 2022",1.95%,1.3
711,Nordson Corporation Common Stock,215.05,-0.01,(-0%),Capital Goods,Industrial Machinery/Components,"12,460,119,579","191,222",$8.47,$2.04,"Mar 8, 2022",0.92%,0.97
712,Ares Management Corporation Class A Common Stock,71.25,-0.12,(-0.17%),Finance,Investment Managers,"12,443,737,331","632,102",$2.12,$2.44,"Mar 31, 2022",2.65%,1
713,D/B/A Sibanye-Stillwater Limited ADS,17.7,-0.75,(-4.07%),Basic Industries,Precious Metals,"12,427,197,736","6,409,316",N/A,$0.79,"Apr 7, 2022",6.85%,2.46
714,Trip.com Group Limited American Depositary Shares,19.37,-1.85,(-8.72%),Consumer Services,Hotels/Resorts,"12,347,530,700","13,704,389",$0.33,N/A,N/A,N/A,1.04
715,News Corporation Class A Common Stock,20.96,-0.02,(-0.1%),Consumer Services,Broadcasting,"12,327,980,152","3,937,457",$0.84,$0.20,"Apr 13, 2022",0.95%,1.33
716,First Horizon Corporation Common Stock,23.08,-0.13,(-0.56%),Finance,Major Banks,"12,316,265,057","12,038,458",$1.74,$0.60,"Apr 1, 2022",2.56%,1.2
718,Fair Isaac Corproation Common Stock,463.18,-18.43,(-3.83%),Technology,Computer Software: Prepackaged Software,"12,172,191,613","142,464",$13.60,N/A,N/A,N/A,1.19
719,PTC Inc. Common Stock,103.94,-2.88,(-2.7%),Technology,Computer Software: Prepackaged Software,"12,156,010,525","357,235",$4.20,N/A,N/A,N/A,1.28
720,CNA Financial Corporation Common Stock,44.76,-0.06,(-0.13%),Finance,Property-Casualty Insurers,"12,146,307,292","152,217",$4.41,$1.60,"Mar 10, 2022",3.58%,0.79
721,"Discovery, Inc. Series A Common Stock",23.99,-1.09,(-4.35%),Consumer Services,Television Services,"12,144,837,246","11,207,097",$1.54,N/A,N/A,N/A,1.15
722,"Discovery, Inc. Series C Common Stock",23.97,-1.09,(-4.35%),Consumer Services,Television Services,"12,134,712,329","5,747,081",$1.54,N/A,N/A,N/A,1.17
724,"Medical Properties Trust, Inc. common stock",20.15,-0.46,(-2.23%),Consumer Services,Real Estate Investment Trusts,"12,087,985,000","5,211,009",$1.10,$1.16,"Apr 14, 2022",5.51%,0.58
725,Carlisle Companies Incorporated Common Stock,232.01,+2.49,(+1.08%),N/A,N/A,"12,083,060,383","357,976",$7.92,$2.16,"Mar 1, 2022",0.96%,1.1
726,NiSource Inc Common Stock,29.79,-0.13,(-0.43%),Public Utilities,Power Generation,"12,076,419,448","3,941,710",$1.31,$0.94,"Feb 18, 2022",3.17%,0.31
728,Robert Half International Inc. Common Stock,108.81,-3.53,(-3.14%),Technology,Diversified Commercial Services,"12,043,742,354","604,346",$5.35,$1.72,"Mar 15, 2022",1.53%,1.46
729,Enel Americas S.A. American Depositary Shares,5.61,-0.13,(-2.26%),Public Utilities,Electric Utilities: Central,"12,037,006,577","1,215,890",$0.38,$0.071,"Feb 11, 2022",1.24%,0.98
731,"Hasbro, Inc. Common Stock",86.47,-2.52,(-2.83%),Consumer Non-Durables,Recreational Products/Toys,"12,015,851,139","747,287",$3.09,$2.80,"May 16, 2022",3.02%,1
733,Darling Ingredients Inc. Common Stock,74.21,-0.91,(-1.21%),Consumer Non-Durables,Farming/Seeds/Milling,"11,955,280,201","880,011",$3.89,N/A,N/A,N/A,1.09
734,Intercontinental Hotels Group American Depositary Shares,64.7,+0.43,(+0.67%),Consumer Services,Hotels/Resorts,"11,905,855,386","164,904",N/A,N/A,N/A,N/A,1.18
735,"Essential Utilities, Inc. Common Stock",46.74,-0.41,(-0.87%),Public Utilities,Water Supply,"11,819,381,192","857,374",$1.67,$1.073,"Mar 1, 2022",2.29%,0.63
736,"F5, Inc. Common Stock",194.43,-2.14,(-1.09%),Technology,EDP Services,"11,809,322,393","387,763",$5.47,N/A,N/A,N/A,1.11
739,Grab Holdings Limited Class A Ordinary Shares,3.14,-0.15,(-4.56%),N/A,N/A,"11,747,022,854","19,410,681",N/A,N/A,N/A,N/A,10.55
740,CyrusOne Inc Common Stock,90.18,-0.04,(-0.04%),Consumer Services,Real Estate Investment Trusts,"11,684,017,492","2,062,301",$0.21,$2.08,"Apr 8, 2022",2.31%,0.37
741,Logitech International S.A. Ordinary Shares,70.13,-1.15,(-1.61%),Technology,Computer peripheral equipment,"11,657,559,892","617,839",$4.45,$0.9484,"Sep 22, 2021",1.33%,0.86
742,"Equitable Holdings, Inc. Common Stock",29.92,+0.12,(+0.4%),N/A,N/A,"11,655,571,171","2,627,208",$13.98,$0.72,"Mar 7, 2022",2.38%,1.57
743,Reliance Steel & Aluminum Co. Common Stock,188.23,-0.04,(-0.02%),Basic Industries,Steel/Iron Ore,"11,614,663,070","634,482",$21.99,$3.50,"Mar 25, 2022",1.45%,0.89
744,"American Financial Group, Inc. Common Stock",136.34,-0.36,(-0.26%),Finance,Property-Casualty Insurers,"11,579,649,467","262,598",$23.28,$2.24,"Mar 22, 2022",1.63%,0.93
745,"Henry Schein, Inc. Common Stock",84.17,-1.25,(-1.46%),Health Care,Medical Specialities,"11,545,834,576","1,358,372",$4.46,N/A,N/A,N/A,0.72
746,Comerica Incorporated Common Stock,88.04,-0.18,(-0.2%),Finance,Major Banks,"11,540,172,534","1,559,348",$8.31,$2.72,"Apr 1, 2022",3.08%,1.38
747,"PulteGroup, Inc. Common Stock",46.39,-0.76,(-1.61%),N/A,N/A,"11,534,917,942","1,845,767",$7.46,$0.60,"Apr 5, 2022",1.26%,1.45
748,"Lufax Holding Ltd American Depositary Shares, two of which representing one Ordinary Share",4.68,-1.20,(-20.41%),Finance,Finance: Consumer Services,"11,523,569,242","28,326,135",$1.04,$0.32,"Apr 29, 2022",N/A,0.35
749,Graco Inc. Common Stock,67.34,-1.29,(-1.88%),Capital Goods,Fluid Controls,"11,471,439,438","582,351",$2.52,$0.84,"May 4, 2022",1.21%,0.72
750,Cognex Corporation Common Stock,65.92,-0.11,(-0.17%),Capital Goods,Industrial Machinery/Components,43.16,"981,396","Mar 3, 2022","Mar 18, 2022",1.62,"Dec 12, 2012",$1.00
751,Regency Centers Corporation Common Stock,66.84,-0.99,(-1.46%),Consumer Services,Real Estate Investment Trusts,"11,454,541,108","858,406",$2.11,$2.50,"Apr 5, 2022",3.66%,1.13
752,Amerco Common Stock,583.04,-2.95,(-0.5%),Miscellaneous,Rental/Leasing Companies,"11,432,124,716","51,027",$56.61,N/A,N/A,N/A,0.96
753,"Bath & Body Works, Inc.",46.81,-1.27,(-2.64%),Miscellaneous,Diversified Commercial Services,"11,426,271,943","3,361,162",$4.92,$0.80,"Mar 4, 2022",1.68%,1.82
754,"Dynatrace, Inc. Common Stock",39.92,-1.02,(-2.49%),Technology,EDP Services,"11,406,924,911","3,246,816",$0.27,N/A,N/A,N/A,1.53
755,Westrock Company Common Stock,43.3,+0.69,(+1.62%),N/A,N/A,"11,397,183,174","2,523,176",$3.23,$1.00,"Feb 23, 2022",2.35%,1.11
756,"EPAM Systems, Inc. Common Stock",200.14,+11.38,(+6.03%),Technology,EDP Services,"11,383,670,795","1,613,789",$8.15,N/A,N/A,N/A,1.74
758,Open Text Corporation Common Shares,41.84,-0.91,(-2.13%),N/A,N/A,"11,346,467,846","759,099",$1.79,$0.889,"Mar 25, 2022",2.06%,0.96
759,"First Citizens BancShares, Inc. Class A Common Stock",709.33,+1.95,(+0.28%),Finance,Major Banks,"11,333,798,163","84,796",$53.88,$1.88,"Mar 15, 2022",0.27%,1.14
762,"Universal Health Services, Inc. Common Stock",150.66,+0.21,(+0.14%),Health Care,Hospital/Nursing Management,"11,270,190,604","705,123",$11.82,$0.80,"Mar 15, 2022",0.53%,1.06
763,"Fortune Brands Home & Security, Inc. Common Stock",83.88,-0.41,(-0.49%),Consumer Durables,Building Products,"11,254,540,620","1,016,064",$5.54,$1.12,"Mar 16, 2022",1.32%,1.66
764,"Morningstar, Inc. Common Stock",260.55,-2.36,(-0.9%),Technology,Advertising,"11,193,832,215","135,616",$4.46,$1.44,"Apr 29, 2022",0.53%,1.2
765,"Avis Budget Group, Inc. Common Stock",208.0,+6.70,(+3.33%),Miscellaneous,Rental/Leasing Companies,"11,183,636,672","969,910",$20.28,N/A,N/A,N/A,2.11
766,Jones Lang LaSalle Incorporated Common Stock,223.6,+4.76,(+2.18%),Finance,Real Estate,"11,154,309,031","290,822",$18.52,N/A,N/A,N/A,1.3
767,Booz Allen Hamilton Holding Corporation Common Stock,83.32,-0.50,(-0.6%),Consumer Services,Professional Services,"11,103,030,564","915,311",$4.19,$1.72,"Mar 2, 2022",2.06%,0.7
768,"Watsco, Inc. Common Stock",284.41,-1.85,(-0.65%),Capital Goods,Wholesale Distributors,"11,056,224,020","174,884",$10.74,$7.80,"Jan 31, 2022",2.72%,0.84
769,"Rexford Industrial Realty, Inc. Common Stock",68.84,-1.08,(-1.54%),Consumer Services,Real Estate Investment Trusts,"11,051,314,486","732,949",$0.80,$1.26,"Apr 15, 2022",1.38%,0.76
770,Lamar Advertising Company Class A Common Stock,108.91,-0.59,(-0.54%),Consumer Services,Real Estate Investment Trusts,16.15,"375,446","Mar 18, 2022","Mar 31, 2022",1.42,"Dec 17, 2021",$0.50
771,Molson Coors Beverage Company Class B Common Stock,50.82,+0.48,(+0.95%),Consumer Non-Durables,Beverages (Production/Distribution),"11,027,096,591","1,434,978",$4.63,$1.52,"Mar 18, 2022",2.9%,0.94
772,"Gaming and Leisure Properties, Inc. Common Stock",44.49,-0.57,(-1.26%),Consumer Services,Real Estate Investment Trusts,12.73,"637,202","Mar 10, 2022","Mar 25, 2022",1.05,"Nov 28, 2014",$0.40
773,Snap-On Incorporated Common Stock,205.7,-1.32,(-0.64%),Capital Goods,Diversified Manufacture,"10,992,328,042","222,970",$14.93,$5.68,"Mar 10, 2022",2.73%,1.21
774,"Life Storage, Inc. Common Stock",131.16,-1.04,(-0.79%),Consumer Services,Real Estate Investment Trusts,"10,976,639,272","247,128",$3.16,$4.00,"Jan 26, 2022",3.03%,0.52
775,CubeSmart Common Shares,48.84,-0.57,(-1.15%),Consumer Services,Real Estate Investment Trusts,"10,940,295,531","1,337,593",$1.09,$1.72,"Apr 18, 2022",3.46%,0.44
776,"Lumen Technologies, Inc. Common Stock",10.68,+0.09,(+0.85%),Public Utilities,Telecommunications Equipment,"10,929,615,352","11,398,091",$1.91,$1.00,"Mar 18, 2022",9.42%,1.01
778,AECOM Common Stock,76.96,+2.04,(+2.72%),Consumer Services,Military/Government/Technical,"10,877,740,118","1,821,413",$1.43,$0.60,"Apr 22, 2022",0.81%,1.49
779,"East West Bancorp, Inc. Common Stock",76.64,-1.08,(-1.39%),Finance,Commercial Banks,"10,875,868,513","731,846",$6.10,$1.60,"Feb 22, 2022",2.07%,1.62
780,"Coca Cola Femsa S.A.B. de C.V. American Depositary Shares, each representing 10 Units",51.6,+0.24,(+0.47%),Consumer Non-Durables,Beverages (Production/Distribution),"10,840,294,462","71,185",$3.68,$2.415,"Nov 15, 2021",4.58%,0.85
781,Whirlpool Corporation Common Stock,185.4,-2.71,(-1.44%),Consumer Durables,Consumer Electronics/Appliances,"10,838,946,944","1,070,880",$28.37,$7.00,"Mar 15, 2022",3.56%,1.75
783,Banco De Chile Banco De Chile ADS,21.23,-0.31,(-1.44%),Finance,Commercial Banks,"10,722,963,148","73,228",$1.68,$0.855,"Apr 7, 2022",1.69%,0.26
784,"Juniper Networks, Inc. Common Stock",33.14,-0.11,(-0.33%),Technology,Computer peripheral equipment,"10,696,216,856","2,399,745",$0.76,$0.84,"Mar 22, 2022",2.49%,0.88
785,AngloGold Ashanti Limited Common Stock,25.53,-0.16,(-0.62%),Basic Industries,Precious Metals,"10,658,812,070","3,764,351",N/A,$0.289,"Apr 4, 2022",0.49%,0.55
786,"Everest Re Group, Ltd. Common Stock",271.41,-2.38,(-0.87%),Finance,Property-Casualty Insurers,"10,658,776,608","282,208",$34.53,$6.20,"Mar 30, 2022",2.25%,0.62
787,DENTSPLY SIRONA Inc. Common Stock,48.77,-1.91,(-3.77%),Health Care,Medical/Dental Instruments,"10,610,123,357","3,332,663",$1.92,$0.50,"Apr 8, 2022",0.86%,0.89
788,TD SYNNEX Corporation Common Stock,109.84,+2.59,(+2.41%),Technology,EDP Services,"10,587,932,667","325,553",$6.52,$1.20,"Jan 28, 2022",1.13%,1.76
789,DaVita Inc. Common Stock,109.97,-1.45,(-1.3%),Health Care,Medical/Nursing Services,"10,540,832,673","778,172",$8.88,N/A,N/A,N/A,1.19
790,Regal Rexnord Corporation Common Stock,154.93,-1.72,(-1.1%),Consumer Durables,Metal Fabrications,"10,464,314,285","266,102",$5.17,$1.32,"Apr 14, 2022",0.84%,1.18
791,Centrais Electricas Brasileiras S A American Depositary Shares,6.66,-0.18,(-2.63%),Public Utilities,Electric Utilities: Central,"10,449,079,861","1,315,133",N/A,$0.163,"Sep 7, 2021",2.36%,0.8
792,Lincoln National Corporation Common Stock,60.58,-0.70,(-1.14%),Finance,Life Insurance,"10,447,306,695","1,163,954",$7.38,$1.80,"May 2, 2022",2.89%,2.02
793,Paylocity Holding Corporation Common Stock,189.55,-6.40,(-3.27%),Technology,Computer Software: Prepackaged Software,"10,446,165,516","129,206",$1.58,N/A,N/A,N/A,1.32
794,Annaly Capital Management Inc Common Stock,7.09,-0.07,(-0.98%),Consumer Services,Real Estate Investment Trusts,"10,354,001,115","21,248,007",$1.61,$0.88,"Jan 31, 2022",12.32%,1.16
795,"Bentley Systems, Incorporated Class B Common Stock",36.44,-0.81,(-2.17%),Technology,Retail: Computer Software & Peripheral Equipment,"10,345,099,838","821,894",$0.28,$0.12,"Mar 15, 2022",0.32%,0.9
796,A.O. Smith Corporation Common Stock,65.72,-0.89,(-1.34%),Capital Goods,Industrial Machinery/Components,"10,319,533,684","1,090,495",$3.02,$1.12,"Feb 15, 2022",1.65%,1.2
797,"Williams-Sonoma, Inc. Common Stock",141.13,-5.31,(-3.63%),Consumer Services,Other Specialty Stores,"10,296,071,266","752,944",$13.32,$2.84,"Feb 25, 2022",1.94%,1.55
798,Concentrix Corporation Common Stock,196.31,+0.60,(+0.31%),Technology,Computer Software: Prepackaged Software,"10,270,472,767","82,654",$7.69,$1.00,"Feb 8, 2022",0.51%,0.51
799,Magellan Midstream Partners L.P. Limited Partnership,48.32,-1.58,(-3.17%),Energy,Oil & Gas Production,"10,262,842,420","1,388,161",$4.47,$4.15,"Feb 14, 2022",8.44%,1.05
802,RPM International Inc. Common Stock,78.73,-0.56,(-0.71%),Basic Industries,Paints/Coatings,"10,209,370,931","461,275",$3.49,$1.60,"Jan 31, 2022",2.02%,1
803,Texas Pacific Land Corporation Common Stock,1316.12,+22.91,(+1.77%),Energy,Oil & Gas Production,"10,193,842,945","30,507",$34.84,$12.00,"Mar 15, 2022",0.93%,2.24
804,Algonquin Power & Utilities Corp. Common Shares,15.08,-0.03,(-0.2%),Public Utilities,Electric Utilities: Central,"10,159,172,032","1,072,370",$0.40,$0.864,"Apr 14, 2022",4.55%,0.38
807,Gerdau S.A. Common Stock,5.9,-0.08,(-1.34%),Basic Industries,Steel/Iron Ore,"10,062,900,388","15,400,936",$1.42,$0.158,"Mar 23, 2022",2.77%,1.5
808,Aluminum Corporation of China Limited American Depositary Shares,14.68,-1.19,(-7.5%),Basic Industries,Aluminum,"9,995,713,556","191,310",N/A,N/A,N/A,N/A,1.64
809,Qiagen N.V. Common Shares,43.94,-0.43,(-0.97%),Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"9,977,631,560","430,657",$2.21,N/A,N/A,N/A,0.29
810,Webster Financial Corporation Common Stock,55.4,+0.58,(+1.06%),Finance,Major Banks,"9,949,299,518","1,725,537",$4.41,$1.60,"Feb 11, 2022",2.93%,1.33
812,"SK Telecom Co., Ltd. Common Stock",25.3,-0.14,(-0.55%),Public Utilities,Telecommunications Equipment,"9,937,786,642","374,953",$4.88,$0.606,"Nov 26, 2021",2.4%,0.74
813,West Fraser Timber Co. Ltd Common stock,93.61,-1.42,(-1.49%),N/A,N/A,"9,889,673,615","214,787",$26.61,$1.00,"Apr 5, 2022",0.88%,2.15
814,Allegion plc Ordinary Shares,111.31,-1.59,(-1.41%),Consumer Services,Diversified Commercial Services,"9,820,930,499","432,817",$5.34,$1.64,"Mar 31, 2022",1.26%,1.14
817,"Vail Resorts, Inc. Common Stock",241.46,-2.56,(-1.05%),Consumer Services,Movies/Entertainment,"9,767,348,925","420,318",$3.41,$3.52,"Jan 11, 2022",1.48%,1.26
818,AGCO Corporation Common Stock,130.83,+1.11,(+0.86%),Capital Goods,Industrial Machinery/Components,"9,751,650,067","918,233",$11.87,$0.80,"Mar 15, 2022",0.63%,1.28
819,Amdocs Limited Ordinary Shares,78.93,-0.92,(-1.15%),Technology,EDP Services,"9,736,331,220","493,666",$4.09,$1.58,"Apr 29, 2022",1.81%,0.73
820,Zions Bancorporation N.A. Common Stock,64.21,-0.31,(-0.48%),Finance,Major Banks,"9,732,587,408","1,138,230",$6.77,$1.52,"Feb 24, 2022",2.33%,1.3
821,Hubbell Inc Common Stock,178.24,-1.66,(-0.92%),Capital Goods,Industrial Machinery/Components,"9,697,872,102","238,552",$7.28,$4.20,"Mar 15, 2022",2.32%,1.26
822,Banco Santander - Chile ADS,20.57,+0.08,(+0.39%),Finance,Commercial Banks,"9,690,842,050","543,666",$2.12,$0.687,"May 7, 2021",3.29%,0.64
823,"Western Midstream Partners, LP Common Units Representing Limited Partner Interests",24.01,-1.22,(-4.84%),Energy,Oilfield Services/Equipment,"9,689,150,961","2,890,597",$2.18,$1.308,"Feb 14, 2022",5.31%,3.55
824,Ares Capital Corporation Common Stock,20.22,-0.27,(-1.32%),Finance,Finance/Investors Services,10.84,"11,192,468","Mar 14, 2022","Mar 31, 2022",1.07,"Mar 14, 2022",$0.03
826,"Floor & Decor Holdings, Inc. Common Stock",91.36,-1.11,(-1.2%),Consumer Services,RETAIL: Building Materials,"9,664,209,625","846,114",$2.63,N/A,N/A,N/A,1.91
827,Service Corporation International Common Stock,59.78,-1.05,(-1.73%),Miscellaneous,Other Consumer Services,"9,654,926,002","831,081",$4.72,$1.00,"Mar 31, 2022",1.5%,0.76
828,Globe Life Inc. Common Stock,96.85,+0.77,(+0.8%),Finance,Life Insurance,"9,620,924,137","673,200",$7.22,$0.83,"Apr 29, 2022",0.81%,1.03
829,Sealed Air Corporation Common Stock,64.77,+0.52,(+0.81%),Basic Industries,Containers/Packaging,"9,596,202,922","833,926",$3.33,$0.80,"Mar 25, 2022",1.24%,1.25
830,"Robinhood Markets, Inc. Class A Common Stock",11.02,-1.03,(-8.55%),Technology,Computer Software: Prepackaged Software,"9,565,246,659","21,050,120",N/A,N/A,N/A,N/A,0.17
831,Tenet Healthcare Corporation Common Stock,89.04,-0.72,(-0.8%),Health Care,Hospital/Nursing Management,"9,564,383,324","800,304",$8.42,N/A,N/A,N/A,2.45
832,Chesapeake Energy Corporation Common Stock,80.55,-0.31,(-0.38%),Energy,Oil & Gas Production,7.91,"1,318,946","Mar 4, 2022","Mar 22, 2022",-0.49,"Mar 4, 2022",$1.33
834,Bruker Corporation Common Stock,63.09,-3.26,(-4.91%),Capital Goods,Biotechnology: Laboratory Analytical Instruments,"9,512,294,248","897,155",$1.82,$0.20,"Mar 18, 2022",0.3%,1.29
835,Globant S.A. Common Shares,226.3,+1.00,(+0.44%),Consumer Services,Electronics Distribution,"9,480,834,427","278,349",$2.29,N/A,N/A,N/A,1.48
836,"Lithia Motors, Inc. Common Stock",320.16,-1.48,(-0.46%),Consumer Services,Other Specialty Stores,"9,440,842,542","145,200",$36.24,$1.40,"Mar 25, 2022",0.43%,1.59
837,ZIM Integrated Shipping Services Ltd. Ordinary Shares,78.81,+2.04,(+2.66%),Transportation,Marine Transportation,"9,436,960,646","7,818,436",$38.84,$68.00,"Apr 4, 2022",13.31%,1.46
838,"Lennox International, Inc. Common Stock",256.28,+0.29,(+0.11%),Capital Goods,Industrial Machinery/Components,"9,389,298,069","263,559",$12.39,$3.68,"Jan 14, 2022",1.41%,0.88
839,"Olaplex Holdings, Inc. Common Stock",14.47,-0.41,(-2.76%),Miscellaneous,Diversified Commercial Services,"9,388,049,773","1,911,141",N/A,N/A,N/A,N/A,3.37
